item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-1867,beta,k8s:v1.20,k8s:sig-node,shipped,,,2020-10-19T23:59:59+00:00,,2020-10-05T23:59:59+00:00,,2020-10-05T23:59:59+00:00
k8s:kep-1884,stable,k8s:v1.20,k8s:sig-node,slipped,2020-10-12T23:59:59+00:00,,2020-10-19T23:59:59+00:00,,,,2020-10-12T23:59:59+00:00
k8s:kep-1898,alpha,k8s:v1.20,k8s:sig-node,unresolved,2020-11-09T23:59:59+00:00,,2020-10-19T23:59:59+00:00,2020-10-05T23:59:59+00:00,,,2020-10-05T23:59:59+00:00
k8s:kep-1900,stable,k8s:v1.20,k8s:sig-storage,shipped,2020-10-05T23:59:59+00:00,,2020-10-19T23:59:59+00:00,,,2020-10-05T23:59:59+00:00,2020-10-05T23:59:59+00:00
k8s:kep-1904,alpha,k8s:v1.20,k8s:sig-api-machinery,shipped,,2020-10-12T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,,
k8s:kep-1929,stable,k8s:v1.20,k8s:sig-api-machinery,shipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-1933,alpha,k8s:v1.20,k8s:sig-instrumentation,unresolved,,2020-10-12T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-10-12T23:59:59+00:00,,,2020-10-12T23:59:59+00:00
k8s:kep-1965,alpha,k8s:v1.20,k8s:sig-api-machinery,unresolved,,,2020-10-19T23:59:59+00:00,,,,2020-09-21T23:59:59+00:00
k8s:kep-1967,alpha,k8s:v1.20,k8s:sig-node,unresolved,,2020-11-09T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,,
k8s:kep-1972,stable,k8s:v1.20,k8s:sig-node,slipped,,2020-11-09T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-2000,alpha,k8s:v1.20,k8s:sig-node,shipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-2040,beta,k8s:v1.20,k8s:sig-node,slipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-2053,alpha,k8s:v1.20,k8s:sig-node,unresolved,,,2020-10-19T23:59:59+00:00,,,,2020-10-12T23:59:59+00:00
k8s:kep-585,stable,k8s:v1.20,k8s:sig-node,shipped,,,2020-10-19T23:59:59+00:00,2020-10-12T23:59:59+00:00,,,2020-10-12T23:59:59+00:00
k8s:kep-606,stable,k8s:v1.20,k8s:sig-node,slipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-695,beta,k8s:v1.20,k8s:sig-storage,unresolved,,,2020-10-19T23:59:59+00:00,2020-10-05T23:59:59+00:00,2020-10-05T23:59:59+00:00,2020-10-05T23:59:59+00:00,2020-10-05T23:59:59+00:00
k8s:kep-752,stable,k8s:v1.20,k8s:sig-network,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,,
k8s:kep-1164,stable,k8s:v1.21,k8s:sig-api-machinery,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1205,beta,k8s:v1.21,k8s:sig-auth,unresolved,2021-01-18T23:59:59+00:00,,,,,2021-01-18T23:59:59+00:00,
k8s:kep-1209,stable,k8s:v1.21,k8s:sig-instrumentation,exception_granted,2021-02-01T23:59:59+00:00,,,2021-02-01T23:59:59+00:00,,,2021-02-01T23:59:59+00:00
k8s:kep-1295,stable,k8s:v1.21,k8s:sig-api-machinery,shipped,,,,2021-01-25T23:59:59+00:00,,2021-01-25T23:59:59+00:00,2021-01-25T23:59:59+00:00
k8s:kep-1393,stable,k8s:v1.21,k8s:sig-auth,shipped,2021-02-01T23:59:59+00:00,,,,,2021-02-01T23:59:59+00:00,2021-02-01T23:59:59+00:00
k8s:kep-1412,stable,k8s:v1.21,k8s:sig-storage,shipped,2021-01-11T23:59:59+00:00,2021-02-22T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1432,alpha,k8s:v1.21,k8s:sig-storage,unresolved,,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-1435,beta,k8s:v1.21,k8s:sig-network,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1451,stable,k8s:v1.21,k8s:sig-scheduling,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,,,,
k8s:kep-1472,beta,k8s:v1.21,k8s:sig-storage,unresolved,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1495,beta,k8s:v1.21,k8s:sig-storage,slipped,,,,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-1591,alpha,k8s:v1.21,k8s:sig-apps,shipped,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00
k8s:kep-1602,beta,k8s:v1.21,k8s:sig-instrumentation,slipped,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00,,2021-02-08T23:59:59+00:00
k8s:kep-1682,stable,k8s:v1.21,k8s:sig-storage,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,,,2021-01-11T23:59:59+00:00,
k8s:kep-1693,stable,k8s:v1.21,k8s:sig-api-machinery,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1698,beta,k8s:v1.21,k8s:sig-storage,unresolved,,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-1748,beta,k8s:v1.21,k8s:sig-instrumentation,unresolved,,,,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00
k8s:kep-1769,alpha,k8s:v1.21,k8s:sig-node,unresolved,,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-1790,stable,k8s:v1.21,k8s:sig-storage,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1845,beta,k8s:v1.21,k8s:sig-storage,unresolved,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1847,alpha,k8s:v1.21,k8s:sig-apps,slipped,,,,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00
k8s:kep-1855,beta,k8s:v1.21,k8s:sig-storage,unresolved,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-1860,alpha,k8s:v1.21,k8s:sig-network,slipped,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1864,beta,k8s:v1.21,k8s:sig-network,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-1884,stable,k8s:v1.21,k8s:sig-node,unresolved,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,
k8s:kep-19,stable,k8s:v1.21,k8s:sig-apps,shipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,,
