cut,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
evidenced,cross_org,965,0.3927461139896373,440,0.4113636363636364,0.47757255936675463,1.047403454065723,7.285714285714286,4.571428571428571,9.285714285714286,risk,0.3623774122113255,0.4591670379988015,0.9559937648129447,1.1350477382922217
evidenced,dep_inactive,965,0.3927461139896373,79,0.3924050632911392,0.08179419525065963,0.9991316255302093,6.285714285714286,4.285714285714286,8.5,risk,0.28123094512195124,0.5061728395061729,0.7179843547781665,1.2731341276844323
evidenced,dep_ordering_conflict,965,0.3927461139896373,21,0.23809523809523808,0.013192612137203167,0.6062319386857645,4.571428571428571,4.285714285714286,6.428571428571429,risk,0.06666666666666667,0.43478260869565216,0.1709729694951786,1.0881179571835518
evidenced,gate_unassigned,965,0.3927461139896373,217,0.7327188940092166,0.41952506596306066,1.8656299016329658,3.2857142857142856,3.2857142857142856,3.4285714285714284,status,0.6726948051948052,0.7953488372093023,1.7132216452628053,2.03275232461524
evidenced,hollow_owner,965,0.3927461139896373,310,0.5838709677419355,0.47757255936675463,1.4866371606094135,8.214285714285715,5.285714285714286,9.285714285714286,risk,0.5292252559726963,0.6392146915584415,1.3642002811897584,1.6060809820289792
evidenced,item_silent,965,0.3927461139896373,126,0.8412698412698413,0.2796833773087071,2.142019516689701,8.214285714285715,3.321428571428571,9.285714285714286,risk,0.7786869603303717,0.9047619047619048,1.940086016646899,2.3730468999116727
evidenced,late_target,965,0.3927461139896373,611,0.31260229132569556,0.503957783641161,0.795939871053552,5.285714285714286,4.285714285714286,6.285714285714286,risk,0.2741942116149827,0.35010215009473594,0.7303627185437902,0.8574724560547488
evidenced,org_overcommitted,965,0.3927461139896373,708,0.4166666666666667,0.7783641160949868,1.0609058927000878,5.285714285714286,4.285714285714286,7.428571428571429,risk,0.3812863994518671,0.45233356008117065,1.0132462268466624,1.108661911151795
evidenced,prior_slip,965,0.3927461139896373,375,0.424,0.41952506596306066,1.0795778364116093,7.285714285714286,5.285714285714286,9.285714285714286,risk,0.3717688796093142,0.4763224771857821,0.9710139509844432,1.1810606260233718
evidenced,process_tracked,965,0.3927461139896373,574,0.4634146341463415,0.7018469656992085,1.1799343587103417,8.285714285714286,5.285714285714286,9.571428571428571,risk,0.42420208743004084,0.5086801081042381,1.1161618637422408,1.2442328379848102
