cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
evidenced,at_freeze,cross_org,855,0.43391812865497076,389,0.4498714652956298,0.4716981132075472,1.0367657758160742,,,,n/a,0.40307687511690254,0.49755238708802385,0.9533293640339192,1.116733075389707
evidenced,at_freeze,dep_inactive,855,0.43391812865497076,56,0.4107142857142857,0.06199460916442048,0.9465248363496341,,,,n/a,0.2881291730868002,0.5384920634920635,0.6771700989415554,1.2372078543003957
evidenced,at_freeze,dep_ordering_conflict,855,0.43391812865497076,15,0.3333333333333333,0.013477088948787063,0.7681940700808625,,,,n/a,0.10513157894736842,0.6153846153846154,0.23292280359378453,1.3942481187290967
evidenced,at_freeze,gate_unassigned,855,0.43391812865497076,200,0.755,0.40700808625336926,1.7399595687331537,,,,n/a,0.6937609880939134,0.8177451858486341,1.5990004887282299,1.9036985282309427
evidenced,at_freeze,hollow_owner,855,0.43391812865497076,171,0.7251461988304093,0.33423180592991913,1.6711590296495955,,,,n/a,0.65602899187349,0.7883650793650794,1.5089056041427393,1.8343241700905137
evidenced,at_freeze,item_silent,855,0.43391812865497076,68,0.9117647058823529,0.16711590296495957,2.1012367211035357,,,,n/a,0.8363561847988077,0.972611995557201,1.9098722076642831,2.322895559950233
evidenced,at_freeze,late_target,855,0.43391812865497076,532,0.34210526315789475,0.49056603773584906,0.7884097035040432,,,,n/a,0.30279508153278095,0.38361644230967445,0.7250303014188985,0.8462837565788398
evidenced,at_freeze,org_overcommitted,855,0.43391812865497076,621,0.45893719806763283,0.7681940700808625,1.0576585022852454,,,,n/a,0.4222558997302005,0.49588205793295353,1.008278973765903,1.1019803121377807
evidenced,at_freeze,prior_slip,855,0.43391812865497076,330,0.45454545454545453,0.40431266846361186,1.0475373682920852,,,,n/a,0.4,0.5086257606490872,0.9491371931826686,1.1464484328838238
evidenced,at_freeze,process_tracked,855,0.43391812865497076,331,0.6374622356495468,0.568733153638814,1.469084127979414,,,,n/a,0.5830813342298914,0.6890317901965427,1.3615043977404298,1.5709305298989027
