cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
evidenced,at_freeze,cross_org,965,0.3927461139896373,436,0.4059633027522936,0.46701846965699206,1.0336532642637555,,,,n/a,0.3556505705282318,0.4524637855984231,0.9402081611084567,1.11723785876132
evidenced,at_freeze,dep_inactive,965,0.3927461139896373,62,0.3709677419354839,0.06068601583113457,0.9445484722104008,,,,n/a,0.24136334610472543,0.5,0.6261925538795,1.2641534814438002
evidenced,at_freeze,dep_ordering_conflict,965,0.3927461139896373,21,0.23809523809523808,0.013192612137203167,0.6062319386857645,,,,n/a,0.06666666666666667,0.43478260869565216,0.1709729694951786,1.0881179571835518
evidenced,at_freeze,gate_unassigned,965,0.3927461139896373,205,0.7414634146341463,0.40105540897097625,1.8878949739365467,,,,n/a,0.6815710181486931,0.8048810975609757,1.7340441948513816,2.0636788465282874
evidenced,at_freeze,hollow_owner,965,0.3927461139896373,181,0.7016574585635359,0.33509234828496043,1.7865420778728551,,,,n/a,0.6322410865874363,0.7684309564233163,1.6238438533774697,1.954904440907999
evidenced,at_freeze,item_silent,965,0.3927461139896373,71,0.8873239436619719,0.1662269129287599,2.25928128135568,,,,n/a,0.8181818181818182,0.9571428571428572,2.0197209344019322,2.4886394371009546
evidenced,at_freeze,late_target,965,0.3927461139896373,608,0.3092105263157895,0.49604221635883905,0.78730384668796,,,,n/a,0.27006568144499177,0.34603436439993535,0.7231711345073216,0.849441116844284
evidenced,at_freeze,org_overcommitted,965,0.3927461139896373,701,0.4108416547788873,0.7598944591029023,1.0460743980517841,,,,n/a,0.37481264100289896,0.4474847657284937,0.996805615751268,1.0962387489502876
evidenced,at_freeze,prior_slip,965,0.3927461139896373,371,0.41778975741239893,0.40897097625329815,1.0637654773165302,,,,n/a,0.36643523886827456,0.47059233164017694,0.9569515034381074,1.1665174546023838
evidenced,at_freeze,process_tracked,965,0.3927461139896373,344,0.622093023255814,0.5646437994722955,1.583957170031294,,,,n/a,0.5722128543499511,0.6748585770058162,1.4766159389217608,1.6979548882380096
