cut,eval,signals,size,fired,fired_pct,precision,recall,lift,lift_ci_lo,lift_ci_hi,jaccard,subset
full,first_fired,item_silent,1,157,0.1420814479638009,0.6687898089171974,0.2830188679245283,1.9919480831630814,1.786857403045029,2.2254576224877267,,
full,first_fired,gate_unassigned,1,279,0.2524886877828054,0.5663082437275986,0.42587601078167114,1.6867132326657588,1.5394851098007731,1.8468249788745272,,
full,first_fired,hollow_owner,1,386,0.34932126696832577,0.46113989637305697,0.4797843665768194,1.3734759716771643,1.258011071201087,1.4894690956923402,,
full,first_fired,process_tracked,1,697,0.6307692307692307,0.3744619799139168,0.7035040431266847,1.1153112878837683,1.0534575596822382,1.181487884830617,,
full,first_fired,gate_unassigned AND item_silent,2,130,0.11764705882352941,0.7230769230769231,0.25336927223719674,2.1536388140161726,1.9361281374309551,2.404285850615827,0.42483660130718953,
full,first_fired,hollow_owner AND item_silent,2,157,0.1420814479638009,0.6687898089171974,0.2830188679245283,1.9919480831630814,1.7658422609029367,2.221723691349491,0.4067357512953368,item_silent ⊆ hollow_owner
full,first_fired,item_silent AND process_tracked,2,152,0.13755656108597286,0.6644736842105263,0.2722371967654987,1.9790927791176056,1.7622249105391363,2.2043775410118616,0.21652421652421652,
full,first_fired,gate_unassigned AND hollow_owner,2,196,0.17737556561085974,0.6530612244897959,0.3450134770889488,1.9451014907310633,1.7603803619302947,2.1485292990542915,0.417910447761194,
full,first_fired,gate_unassigned AND process_tracked,2,219,0.19819004524886877,0.6438356164383562,0.38005390835579517,1.9176236015212498,1.745159559715458,2.097623493229788,0.2892998678996037,
full,first_fired,hollow_owner AND process_tracked,2,304,0.2751131221719457,0.5098684210526315,0.41778975741239893,1.5186107958575683,1.3787194423223834,1.6656095807637767,0.3902439024390244,
full,first_fired,gate_unassigned AND hollow_owner AND item_silent,3,130,0.11764705882352941,0.7230769230769231,0.25336927223719674,2.1536388140161726,1.928305736559221,2.42522954854522,,
full,first_fired,gate_unassigned AND item_silent AND process_tracked,3,127,0.11493212669683257,0.7165354330708661,0.24528301886792453,2.1341554003862724,1.8953313817218334,2.372662253231548,,
full,first_fired,hollow_owner AND item_silent AND process_tracked,3,152,0.13755656108597286,0.6644736842105263,0.2722371967654987,1.9790927791176056,1.7568494776411028,2.2436162938944277,,
full,first_fired,gate_unassigned AND hollow_owner AND process_tracked,3,184,0.1665158371040724,0.657608695652174,0.3261455525606469,1.9586458455408418,1.7511156120086047,2.1694255720390325,,
