cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
full,at_freeze,cross_org,1255,0.30199203187250995,582,0.30412371134020616,0.46701846965699206,1.0070587275249572,,,,n/a,0.2671061051334313,0.33862214498510423,0.9159156575281471,1.0977397413123662
full,at_freeze,dep_inactive,1255,0.30199203187250995,80,0.2875,0.06068601583113457,0.9520118733509234,,,,n/a,0.19047619047619047,0.3972646645591851,0.6484160923642954,1.287396978979453
full,at_freeze,dep_ordering_conflict,1255,0.30199203187250995,25,0.2,0.013192612137203167,0.662269129287599,,,,n/a,0.05263157894736842,0.35721428571428565,0.17921885428812678,1.178423132046058
full,at_freeze,gate_unassigned,1255,0.30199203187250995,285,0.5333333333333333,0.40105540897097625,1.7660510114335972,,,,n/a,0.4725175644028103,0.5909129959387691,1.5967717067302714,1.949439463721847
full,at_freeze,hollow_owner,1255,0.30199203187250995,264,0.4810606060606061,0.33509234828496043,1.5929579435516112,,,,n/a,0.41975195998918624,0.5421721501390175,1.415694027370255,1.7633563937478027
full,at_freeze,item_silent,1255,0.30199203187250995,107,0.5887850467289719,0.1662269129287599,1.9496708011737724,,,,n/a,0.49150580665411175,0.6827598314606741,1.6613979295957515,2.2551711199656235
full,at_freeze,late_target,1255,0.30199203187250995,769,0.2444733420026008,0.49604221635883905,0.8095357367104591,,,,n/a,0.21428571428571427,0.2729721879280162,0.7431658498264779,0.8768025959883868
full,at_freeze,org_overcommitted,1255,0.30199203187250995,930,0.3096774193548387,0.7598944591029023,1.0254489743807984,,,,n/a,0.2780689703966181,0.33801333921455295,0.972079274198853,1.0729277598117628
full,at_freeze,prior_slip,1255,0.30199203187250995,478,0.32426778242677823,0.40897097625329815,1.073762709619015,,,,n/a,0.28478918606818604,0.36564035934029926,0.9655991525744008,1.183794750349223
full,at_freeze,process_tracked,1255,0.30199203187250995,481,0.44490644490644493,0.5646437994722955,1.473239019413162,,,,n/a,0.39915754361956896,0.4929027426048852,1.368248509042878,1.5787913446983695
