cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
evidenced,first_fired,cross_org,855,0.43391812865497076,393,0.455470737913486,0.48247978436657685,1.049669759881484,7.285714285714286,4.571428571428571,9.285714285714286,risk,0.4086190195934182,0.502660726182545,0.969961131644148,1.1307529556526819
evidenced,first_fired,dep_inactive,855,0.43391812865497076,70,0.44285714285714284,0.08355795148247978,1.0206006931074316,6.285714285714286,4.178571428571429,8.428571428571429,risk,0.32835237873134326,0.5593541345659989,0.7726933308128192,1.285870497427101
evidenced,first_fired,dep_ordering_conflict,855,0.43391812865497076,15,0.3333333333333333,0.013477088948787063,0.7681940700808625,4.571428571428571,4.0,7.7857142857142865,risk,0.10513157894736842,0.6153846153846154,0.23292280359378453,1.3942481187290967
evidenced,first_fired,gate_unassigned,855,0.43391812865497076,212,0.7452830188679245,0.42587601078167114,1.7175659868789095,3.2857142857142856,3.2857142857142856,3.4285714285714284,status,0.6832556785090274,0.8095403439153439,1.5790244651045051,1.8695028098809943
evidenced,first_fired,hollow_owner,855,0.43391812865497076,282,0.6312056737588653,0.4797843665768194,1.4546653667488674,8.142857142857142,5.285714285714286,9.285714285714286,risk,0.5753107559614409,0.6865738035799649,1.337209943907519,1.5749023966201454
evidenced,first_fired,item_silent,855,0.43391812865497076,121,0.8677685950413223,0.2830188679245283,1.9998440667394355,8.142857142857142,3.4285714285714284,9.285714285714286,risk,0.8,0.9268544128740257,1.8403396696410015,2.191099611962264
evidenced,first_fired,late_target,855,0.43391812865497076,535,0.34579439252336447,0.49865229110512127,0.7969116054109882,5.142857142857143,4.214285714285714,6.285714285714286,risk,0.30693801607996524,0.3861639044016093,0.735487756140666,0.8543968567891675
evidenced,first_fired,org_overcommitted,855,0.43391812865497076,627,0.46411483253588515,0.784366576819407,1.0695907865719185,5.285714285714286,4.285714285714286,7.428571428571429,risk,0.4265147236349004,0.5000195618153365,1.0207026504336325,1.1142674655324232
evidenced,first_fired,prior_slip,855,0.43391812865497076,333,0.4594594594594595,0.4123989218328841,1.0588620965979456,7.285714285714286,4.571428571428571,9.285714285714286,risk,0.40272789010050836,0.5135328185328185,0.9581557970276532,1.1548027538671124
evidenced,first_fired,process_tracked,855,0.43391812865497076,528,0.4943181818181818,0.7035040431266847,1.1391968880176429,8.142857142857142,5.285714285714286,9.571428571428571,risk,0.4543608116790405,0.5392001632758288,1.0811427790567865,1.2057234070286567
