cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
full,first_fired,cross_org,1105,0.3357466063348416,520,0.34423076923076923,0.48247978436657685,1.025269541778976,7.285714285714286,4.571428571428571,9.285714285714286,risk,0.30632411067193677,0.382516438895791,0.9418376606154312,1.1133030585431025
full,first_fired,dep_inactive,1105,0.3357466063348416,90,0.34444444444444444,0.08355795148247978,1.025905959868224,6.5,4.178571428571429,8.535714285714285,risk,0.2527443609022556,0.4353811524609843,0.7527183883812562,1.2857958051280665
full,first_fired,dep_ordering_conflict,1105,0.3357466063348416,18,0.2777777777777778,0.013477088948787063,0.8273435160227615,5.5,4.571428571428571,8.035714285714286,risk,0.07142857142857142,0.47619047619047616,0.20545023799331377,1.4414301160937855
full,first_fired,gate_unassigned,1105,0.3357466063348416,279,0.5663082437275986,0.42587601078167114,1.6867132326657588,3.2857142857142856,3.2857142857142856,3.4285714285714284,status,0.5075662197514715,0.6229785529397264,1.5270378548090833,1.8496454808686058
full,first_fired,hollow_owner,1105,0.3357466063348416,386,0.46113989637305697,0.4797843665768194,1.3734759716771643,8.142857142857142,4.428571428571429,9.285714285714286,risk,0.41298405348003203,0.5092888515092048,1.2639828461298275,1.4929376055444026
full,first_fired,item_silent,1105,0.3357466063348416,157,0.6687898089171974,0.2830188679245283,1.9919480831630814,8.285714285714286,4.142857142857143,9.285714285714286,risk,0.5960194448358461,0.7389025821596245,1.7865021532175633,2.2227490937986567
full,first_fired,late_target,1105,0.3357466063348416,674,0.2744807121661721,0.49865229110512127,0.8175234149423725,5.142857142857143,4.285714285714286,6.285714285714286,risk,0.24035154782112916,0.308139974004075,0.7500059574757171,0.8845488429978756
full,first_fired,org_overcommitted,1105,0.3357466063348416,822,0.354014598540146,0.784366576819407,1.0544100576465265,5.428571428571429,4.285714285714286,7.428571428571429,risk,0.32112332112332115,0.38810318513603187,1.00892175141062,1.099486950959012
full,first_fired,prior_slip,1105,0.3357466063348416,420,0.36428571428571427,0.4123989218328841,1.0850019252984213,7.285714285714286,4.571428571428571,9.285714285714286,risk,0.31860298135891674,0.41121775227057444,0.9775989452387992,1.1910466500446113
full,first_fired,process_tracked,1105,0.3357466063348416,697,0.3744619799139168,0.7035040431266847,1.1153112878837683,8.285714285714286,5.285714285714286,9.571428571428571,risk,0.3382554013375766,0.4105489802541348,1.0568098001460535,1.1793294598064141
