cut,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
full,hollow_owner,1255,0.30199203187250995,505,0.4099009900990099,0.5461741424802111,1.35732385903498,8.571428571428571,4.285714285714286,9.571428571428571,risk,0.3688335313335313,0.4528697764381221,1.2533032133690656,1.462711032683766
full,late_target,1255,0.30199203187250995,772,0.24740932642487046,0.503957783641161,0.8192577959451516,5.285714285714286,4.285714285714286,6.285714285714286,risk,0.21566041195948915,0.27876071985726963,0.747767260610723,0.8827213446642281
full,prior_slip,1255,0.30199203187250995,482,0.32987551867219916,0.41952506596306066,1.0923318626216623,7.285714285714286,5.285714285714286,9.285714285714286,risk,0.2857067351253398,0.375,0.9971822243082132,1.206154305487506
full,process_tracked,1255,0.30199203187250995,765,0.3477124183006536,0.7018469656992085,1.1513960025522962,8.285714285714286,5.285714285714286,9.285714285714286,risk,0.3160518684460082,0.3773345616264295,1.0884594693197882,1.2110322995821432
